entity,score,index,word,start,end
LABEL_0,0.60756046,1,IN,0,2
LABEL_0,0.56627184,2,##F,2,3
LABEL_0,0.56077474,3,##OR,3,5
LABEL_0,0.5563249,4,##ME,5,7
LABEL_0,0.55014443,5,Nº,8,10
LABEL_1,0.53975767,6,38,11,13
LABEL_0,0.5358537,7,##6,13,14
LABEL_1,0.5684011,8,/,14,15
LABEL_1,0.54711485,9,202,15,18
LABEL_1,0.5084131,10,##2,18,19
LABEL_1,0.5060573,11,/,19,20
LABEL_0,0.591774,12,CO,20,22
LABEL_0,0.59878945,13,##GE,22,24
LABEL_1,0.55332935,14,/,24,25
LABEL_0,0.5240114,15,SC,25,27
LABEL_0,0.64582103,16,##O,27,28
LABEL_0,0.54429066,17,PR,29,31
LABEL_1,0.53499717,18,##OC,31,33
LABEL_1,0.5046009,19,##ES,33,35
LABEL_0,0.51217717,20,##SO,35,37
LABEL_0,0.5244353,21,Nº,38,40
LABEL_0,0.63635534,22,53,41,43
LABEL_0,0.6575377,23,##500,43,46
LABEL_0,0.6225472,24,.,46,47
LABEL_0,0.6906474,25,01,47,49
LABEL_0,0.5741743,26,##46,49,51
LABEL_0,0.6025093,27,##48,51,53
LABEL_0,0.5251982,28,/,53,54
LABEL_1,0.53958565,29,202,54,57
LABEL_1,0.53311276,30,##2,57,58
LABEL_1,0.52332556,31,-,58,59
LABEL_0,0.55827016,32,11,59,61
LABEL_0,0.63524383,33,IN,62,64
LABEL_0,0.5894232,34,##TE,64,66
LABEL_0,0.6137771,35,##RE,66,68
LABEL_0,0.72204494,36,##SS,68,70
LABEL_0,0.5933878,37,##AD,70,72
LABEL_0,0.5370232,38,##O,72,73
LABEL_1,0.5070637,39,:,73,74
LABEL_0,0.5915052,40,AS,75,77
LABEL_0,0.5393466,41,##SO,77,79
LABEL_0,0.59220135,42,##CI,79,81
LABEL_0,0.6199348,43,##A,81,82
LABEL_0,0.68631405,44,##Ç,82,83
LABEL_0,0.6887811,45,##ÃO,83,85
LABEL_0,0.6398166,46,BR,86,88
LABEL_0,0.5763763,47,##AS,88,90
LABEL_0,0.71720755,48,##IL,90,92
LABEL_0,0.58424926,49,##EI,92,94
LABEL_0,0.62672323,50,##RA,94,96
LABEL_0,0.5810325,51,DE,97,99
LABEL_0,0.52340853,52,R,100,101
LABEL_1,0.50822324,53,##EC,101,103
LABEL_0,0.50967854,54,##UR,103,105
LABEL_0,0.5699334,55,##SO,105,107
LABEL_0,0.60834044,56,##S,107,108
LABEL_1,0.5467565,57,E,109,110
LABEL_0,0.5175255,58,##M,110,111
LABEL_0,0.51625496,59,T,112,113
LABEL_0,0.6590961,60,##EL,113,115
LABEL_0,0.67666495,61,##EC,115,117
LABEL_0,0.6792029,62,##OM,117,119
LABEL_0,0.60256094,63,##UN,119,121
LABEL_0,0.724178,64,##IC,121,123
LABEL_0,0.70828956,65,##A,123,124
LABEL_0,0.6856579,66,##Ç,124,125
LABEL_0,0.6478803,67,##Õ,125,126
LABEL_0,0.6510244,68,##ES,126,128
LABEL_1,0.5308407,69,-,129,130
LABEL_0,0.559643,70,AB,131,133
LABEL_0,0.6487364,71,##R,133,134
LABEL_0,0.6463239,72,T,135,136
LABEL_0,0.67191136,73,##EL,136,138
LABEL_0,0.6389516,74,##EC,138,140
LABEL_0,0.70905626,75,##OM,140,142
LABEL_1,0.5262446,76,1,143,144
LABEL_0,0.5735448,77,.,144,145
LABEL_0,0.5054245,78,AS,146,148
LABEL_0,0.6442438,79,##S,148,149
LABEL_0,0.61275166,80,##UN,149,151
LABEL_0,0.50113857,81,##TO,151,153
LABEL_1,0.54942435,82,1,154,155
LABEL_0,0.59843266,83,.,155,156
LABEL_1,0.6408323,84,1,156,157
LABEL_0,0.6373215,85,.,157,158
LABEL_0,0.6002874,86,Processo,159,167
LABEL_0,0.65757644,87,da,168,170
LABEL_0,0.7348935,88,Ac,171,173
LABEL_0,0.72651964,89,##om,173,175
LABEL_0,0.63733494,90,##panha,175,180
LABEL_0,0.73321146,91,##mento,180,185
LABEL_0,0.6163023,92,e,186,187
LABEL_0,0.66026264,93,Controle,188,196
LABEL_0,0.5411879,94,.,196,197
LABEL_0,0.582379,95,Al,198,200
LABEL_0,0.5456573,96,##tera,200,204
LABEL_0,0.61783934,97,##ções,204,208
LABEL_0,0.54281604,98,contra,209,215
LABEL_0,0.5853051,99,##tuais,215,220
LABEL_0,0.52712643,100,em,221,223
LABEL_0,0.50560224,101,função,224,230
LABEL_0,0.54963076,102,da,231,233
LABEL_0,0.7245613,103,Lei,234,237
LABEL_0,0.5287201,104,Geral,238,243
LABEL_0,0.594969,105,de,244,246
LABEL_0,0.58756137,106,Proteção,247,255
LABEL_0,0.5441238,107,de,256,258
LABEL_0,0.55089873,108,Dados,259,264
LABEL_0,0.5518532,109,-,265,266
LABEL_0,0.61489284,110,LG,267,269
LABEL_0,0.67172116,111,##P,269,270
LABEL_0,0.60101694,112,##D,270,271
LABEL_0,0.54534924,113,.,271,272
LABEL_1,0.5840584,114,2,273,274
LABEL_0,0.50333756,115,.,274,275
LABEL_0,0.5171901,116,R,276,277
LABEL_0,0.5290282,117,##EF,277,279
LABEL_0,0.6208917,118,##ER,279,281
LABEL_0,0.51406187,119,##Ê,281,282
LABEL_0,0.55209595,120,##N,282,283
LABEL_0,0.56138456,121,##CI,283,285
LABEL_0,0.5815165,122,##AS,285,287
LABEL_1,0.5797036,123,2,288,289
LABEL_0,0.55618185,124,.,289,290
LABEL_1,0.7198154,125,1,290,291
LABEL_0,0.5545886,126,.,291,292
LABEL_0,0.5259474,127,ConsƟtuição,293,304
LABEL_1,0.5383663,128,da,305,307
LABEL_1,0.5008617,129,República,308,317
LABEL_1,0.5124537,130,FederaƟva,318,327
